,K00366,K00367,K00372
Acau1,20.135647,28.274318,24.333613
Acau2,23.17829,25.400158,27.925027
Acon1,8.01952,10.476325,7.054336
Acon2,10.060738,8.17302,9.433899
Acon3,9.070239,10.873247,4.42387
Acra1,20.009547,27.198042,36.95424
Aful2,18.382234,30.157561,30.224659
Ibir2,2.960669,5.975227,7.409011
Vrig3,14.411205,11.263746,10.313393
Wfilter1,36.095245,32.839841,39.647203
Wfilter2,22.856544,9.21755,23.132219
Wfilter3,23.027533,13.900394,32.74614
Xmut1,18.761834,18.869241,26.921798
Xmut2,17.24379,20.903306,24.111914