,K00368,K00370,K00371,K00374,K02567,K02568,K04561,K15864
Acau1,15.310799,18.852649,8.252683,4.938964,4.365416,0,33.141269,1.168937
Acau2,15.922815,15.222249,3.485964,8.221377,3.626856,0,28.649078,0
Acon1,6.229358,18.467087,12.138364,9.448122,9.419645,0,7.429742,1.62122
Acon2,6.046492,12.326106,6.879973,11.210996,11.200848,0,14.364463,2.113126
Acon3,9.330807,11.156938,5.773246,5.330344,2.369682,0,13.29617,1.054123
Acra1,34.672178,43.595237,26.509982,14.808623,13.853291,0,48.328497,8.068044
Aful2,16.466189,43.409563,23.56384,5.522479,16.072506,3.378661,22.254081,2.659529
Ibir2,8.04471,25.243777,26.630778,11.604581,12.53104,0,12.478623,0
Vrig3,9.780486,22.776179,16.179991,5.990995,4.9278,0,22.21121,0
Wfilter1,9.001588,58.198895,45.817828,19.984266,51.204439,9.273851,30.769208,4.836183
Wfilter2,13.996895,52.556195,42.945696,8.52113,30.049422,0,19.635313,5.388923
Wfilter3,7.694787,34.422563,35.489639,4.598355,16.539603,0,19.199969,3.897299
Xmut1,11.045059,23.097117,16.885938,5.188724,14.638477,7.414396,19.139691,0.843428
Xmut2,13.546913,21.990449,10.80682,8.443817,2.114014,2.53752,15.656673,0