,K00362,K00363,K00370,K00371,K00374,K02567,K02568,K03385,K15876
Acau1,19.118453,5.742121,16.937173,9.501131,4.932135,3.945321,0,0.577806,0.560225
Acau2,23.69449,3.711698,15.222249,5.985559,8.360603,6.137966,0,2.207378,0.717461
Acon1,7.831189,0.307019,20.569455,10.184383,9.652067,10.430393,0,1.631216,0
Acon2,13.253737,0.26054,12.326106,8.370754,9.870799,8.220097,0,0,0
Acon3,10.523413,0,11.156938,7.104387,5.809368,2.228791,0,0,0
Acra1,35.658946,5.740441,44.002126,25.402897,14.714502,12.155864,0,8.366022,0.586119
Aful2,17.133181,12.874958,43.409563,22.726002,5.638683,16.03685,3.321708,4.533933,0
Ibir2,14.77456,0,25.243777,24.328849,9.167995,9.517826,0,0,0
Vrig3,16.664113,5.813005,22.776179,13.08648,3.967453,4.939957,0,0,0
Wfilter1,57.312536,9.548793,58.970512,36.352487,18.229499,52.905817,9.572616,15.816929,6.898246
Wfilter2,46.458376,0,53.201848,35.284618,8.187825,28.331793,0,0,4.474785
Wfilter3,42.290058,3.369282,34.422563,31.878831,4.502431,17.539918,0,4.438154,6.399436
Xmut1,18.919009,4.703372,23.097117,16.659914,5.49179,14.112363,9.379663,0.498109,4.410716
Xmut2,9.167299,0.656716,21.990449,11.100976,8.003931,2.097243,2.50946,1.844816,0.428295